"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-01-04",,,"49","57","43"
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-01-05",,,"53",,"46"
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-01-07",,,"53",,"39"
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-01-08",,,"52","66","43"
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-01-10",,,"52","64","43"
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-01-11",,,"50","63",
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-01-13",,,"55","63",
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-01-15",,,"49",,"34"
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-01-17",,,"49","54","45"
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-01-21",,,"51",,
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-01-28",,,"57",,"34"
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-01-31",,,"51","63",
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-02-01",,,"49","59","39"
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-02-03",,,"54","61",
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-02-05",,,"51","66","37"
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-02-12",,,"63",,"46"
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-02-14",,,"65","93","46"
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-02-15",,,"70",,"45"
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-02-22",,,"63","66",
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-02-25",,,"54",,"54"
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-02-28",,,"60",,
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-03-01","0.00",,"57",,
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-03-02",,,"56",,"30"
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-03-04",,,"59",,
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-03-05","0.00",,"58",,
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-03-07","0.00",,"60",,
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-03-09","0.75",,"55",,
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-03-10","0.91",,"59",,
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-03-13","0.00",,"56",,
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-03-22","0.00",,"69",,
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-03-23","0.00",,"69",,
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-04-01",,,"77","81",
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-04-07",,,"72","81",
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-04-11","0.12",,"84",,"61"
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-04-12","0.00",,"74",,"59"
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-04-15","0.00",,"74","81","57"
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-04-26","0.08",,"87","97","72"
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-04-28","0.00",,"79","100",
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-05-04","0.00",,"89","97","75"
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-05-09","0.00",,"79",,
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-05-14","0.00",,"94",,"70"
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-05-16",,,"66","73",
"PKM00041571","CHAKLALA, PK","33.617","73.099","508.4","1973-09-12","0.63",,"81","91","66"
